Ypos,Zpos,Scan_min,Ext_y_min,Ext_z_min
35.5,33.5,0.27447680894892,-30.0,-70.0
35.5,33.75,0.20856016226935,-30.0,-60.0
35.5,34.0,0.15735210423472,-30.0,-50.0
35.5,34.25,0.16440849645446,-30.0,-40.0
35.5,34.5,0.23909246368965,-30.0,-30.0
35.5,34.75,0.2359673647121,-30.0,-10.0
35.5,35.0,0.12684646520815,-30.0,0.0
35.5,35.25,0.080785073142287,-30.0,10.0
35.5,35.5,0.15925829416626,-30.0,20.0
35.5,35.75,0.27900482205051,-30.0,30.0
35.5,36.0,0.36347662883322,-40.0,40.0
35.5,36.25,0.28066802050254,-40.0,60.0
35.5,36.5,0.18747662761325,-40.0,70.0
35.5,36.75,0.09085848527298,-40.0,80.0
35.5,37.0,0.070465370231319,-40.0,90.0
35.5,37.25,0.14408293326866,-40.0,100.0
35.5,37.5,0.23840382406302,-40.0,110.0
35.5,37.75,0.30217732215413,-50.0,120.0
35.5,38.0,0.13343157325124,-50.0,120.0
35.5,38.25,0.29849560251638,-50.0,130.0
35.5,38.5,0.31877740393511,-50.0,120.0
35.5,38.75,0.21913520634721,-60.0,110.0
35.75,31.25,0.18470310217873,-50.0,-110.0
35.75,31.5,0.20680276362126,-50.0,-130.0
35.75,31.75,0.22077342494905,-50.0,-130.0
35.75,32.0,0.2278076159451,-40.0,-130.0
35.75,32.25,0.10049131932272,-40.0,-120.0
35.75,32.5,0.20098314387724,-40.0,-110.0
35.75,32.75,0.25843503444002,-40.0,-100.0
35.75,33.0,0.26250940499222,-40.0,-90.0
35.75,33.25,0.23879147275127,-40.0,-80.0
35.75,33.5,0.17163526708529,250.0,-50.0
35.75,33.75,0.11439413403672,-40.0,-60.0
35.75,34.0,0.056237442973058,-40.0,-50.0
35.75,34.25,0.10881155892918,-40.0,-40.0
35.75,34.5,0.20091808678183,-40.0,-30.0
35.75,34.75,0.31243101484477,-40.0,-20.0
35.75,35.0,0.28210330130742,-40.0,0.0
35.75,35.25,0.26472157118226,-50.0,10.0
35.75,35.5,0.18646481923866,-50.0,20.0
35.75,35.75,0.14956438225369,-50.0,30.0
35.75,36.0,0.19786392160882,-50.0,40.0
35.75,36.25,0.27883183378995,-50.0,50.0
35.75,36.5,0.24055669275831,-50.0,70.0
35.75,36.75,0.26308371644616,-50.0,80.0
35.75,37.0,0.27587894225842,-60.0,90.0
35.75,37.25,0.20085192408586,-60.0,100.0
35.75,37.5,0.22381424020454,-60.0,110.0
35.75,37.75,0.2273837350706,220.0,140.0
35.75,38.0,0.18909215862554,-70.0,120.0
35.75,38.25,0.15026776694901,-70.0,120.0
35.75,38.5,0.19041469443568,-70.0,120.0
35.75,38.75,0.1914027855873,-80.0,110.0
36.0,31.25,0.15401585416041,-70.0,-110.0
36.0,31.5,0.22736335974049,-70.0,-130.0
36.0,31.75,0.22060621329245,-70.0,-130.0
36.0,32.0,0.16799463518096,-60.0,-130.0
36.0,32.25,0.12196495616658,-60.0,-120.0
36.0,32.5,0.29512757328911,-60.0,-110.0
36.0,32.75,0.3209926992827,-60.0,-110.0
36.0,33.0,0.0759352584177,230.0,-70.0
36.0,33.25,0.36683317420791,-50.0,-90.0
36.0,33.5,0.32241343413506,-50.0,-70.0
36.0,33.75,0.2987245758747,-50.0,-60.0
36.0,34.0,0.25646826471803,-60.0,-50.0
36.0,34.25,0.20996015155949,-60.0,-40.0
36.0,34.5,0.21375850673311,-60.0,-30.0
36.0,34.75,0.24562581099081,-60.0,-20.0
36.0,35.0,0.28573610758158,-60.0,0.0
36.0,35.25,0.16811050994285,-60.0,10.0
36.0,35.5,0.065627299063166,-60.0,20.0
36.0,35.75,0.11024222415584,-60.0,30.0
36.0,36.0,0.21357233416654,-60.0,40.0
36.0,36.25,0.31083839760457,-70.0,50.0
36.0,36.5,0.25180440450848,220.0,90.0
36.0,36.75,0.27228056874483,-70.0,80.0
36.0,37.0,0.25470204343029,-70.0,90.0
36.0,37.25,0.32833999680836,-70.0,100.0
36.0,37.5,0.29059939063818,-80.0,100.0
36.0,37.75,0.10528873898896,-80.0,110.0
36.0,38.0,0.25449710038105,-80.0,120.0
36.0,38.25,0.031640762128251,-90.0,120.0
36.0,38.5,0.22126786987311,-90.0,120.0
36.0,38.75,0.29252174354226,-100.0,100.0
36.25,31.25,0.12150540909948,210.0,-60.0
36.25,31.5,0.20644902384652,-90.0,-120.0
36.25,31.75,0.20034361443186,-90.0,-130.0
36.25,32.0,0.18667519009798,-80.0,-130.0
36.25,32.25,0.14655997815202,-80.0,-120.0
36.25,32.5,0.34067098121326,-70.0,-110.0
36.25,32.75,0.26536825798446,-70.0,-110.0
36.25,33.0,0.21641510082683,-70.0,-100.0
36.25,33.25,0.22522133319445,-70.0,-90.0
36.25,33.5,0.27370388540313,-70.0,-80.0
36.25,33.75,0.23048643977136,-70.0,-60.0
36.25,34.0,0.14908021597113,-70.0,-50.0
36.25,34.25,0.062519531203388,-70.0,-40.0
36.25,34.5,0.037394383469252,-70.0,-30.0
36.25,34.75,0.14394146410183,-70.0,-20.0
36.25,35.0,0.25291555681167,-70.0,-10.0
36.25,35.25,0.27956433313055,-70.0,10.0
36.25,35.5,0.25738630154649,-70.0,20.0
36.25,35.75,0.19762219423869,-80.0,30.0
