Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
35.0,31.0,0.49022347742662,0.0,-20.0
35.0,31.25,0.77288534637117,-2.5,-32.5
35.0,31.5,0.68164456814119,-2.5,-30.0
35.0,31.75,0.77094615047009,0.0,-27.5
35.0,32.0,0.59490083492129,0.0,-20.0
35.0,32.25,0.5318538647178,0.0,-15.0
35.0,32.5,0.47611845943007,0.0,-12.5
35.0,32.75,0.48782212751105,0.0,-7.5
35.0,33.0,0.57733769550015,2.5,-5.0
35.0,33.25,0.52798240237124,2.5,-2.5
35.0,33.5,0.66332220342007,2.5,-2.5
35.0,33.75,0.34343478908508,2.5,0.0
35.0,34.0,0.36271965262136,2.5,0.0
35.0,34.25,0.40993284329371,2.5,0.0
35.0,34.5,0.33673063808728,2.5,0.0
35.0,34.75,0.31952560511995,2.5,0.0
35.0,35.0,0.41207601114641,2.5,0.0
35.0,35.25,0.56819459133304,2.5,0.0
35.0,35.5,0.70028708869968,2.5,-2.5
35.0,35.75,0.66375378607327,2.5,-2.5
35.0,36.0,0.7058758736978,2.5,-2.5
35.0,36.25,0.48617892235098,2.5,0.0
35.0,36.5,0.26410216307217,2.5,0.0
35.0,36.75,0.39570947124957,2.5,2.5
35.0,37.0,0.46558716262451,2.5,5.0
35.0,37.25,0.28065962333726,2.5,7.5
35.0,37.5,0.36086758406163,2.5,10.0
35.0,37.75,0.42108667410952,2.5,15.0
35.0,38.0,0.50266024296069,5.0,20.0
35.0,38.25,0.35908824289087,5.0,25.0
35.0,38.5,0.22380078604043,5.0,30.0
35.0,38.75,0.2677603514928,5.0,30.0
35.0,39.0,0.38186094525236,2.5,17.5
35.25,31.25,0.64933873142166,-5.0,-30.0
35.25,31.5,0.62062532580197,-2.5,-30.0
35.25,31.75,0.54869309003084,-2.5,-27.5
35.25,32.0,0.62845758696197,-2.5,-22.5
35.25,32.25,0.78349764004372,0.0,-17.5
35.25,32.5,0.35026868345278,0.0,-12.5
35.25,32.75,0.30976524791668,0.0,-7.5
35.25,33.0,0.29204875264078,0.0,-5.0
35.25,33.25,0.45445347918307,0.0,-2.5
35.25,33.5,0.76604713764385,2.5,-2.5
35.25,33.75,0.54638680027604,2.5,0.0
35.25,34.0,0.5196615979081,2.5,0.0
35.25,34.25,0.53715952489255,2.5,0.0
35.25,34.5,0.45267343125821,2.5,0.0
35.25,34.75,0.42791869237923,2.5,0.0
35.25,35.0,0.49750714108705,2.5,0.0
35.25,35.25,0.63804388887996,2.5,0.0
35.25,35.5,0.76445102081693,2.5,0.0
35.25,35.75,0.78257171154262,2.5,-2.5
35.25,36.0,0.79870230477272,2.5,0.0
35.25,36.25,0.61129617238191,2.5,0.0
35.25,36.5,0.47569395499197,2.5,0.0
35.25,36.75,0.59206255358132,2.5,2.5
35.25,37.0,0.59636279426956,2.5,5.0
35.25,37.25,0.46390364693336,2.5,7.5
35.25,37.5,0.4281495333678,2.5,10.0
35.25,37.75,0.14322857609935,2.5,15.0
35.25,38.0,0.082697657704967,2.5,20.0
35.25,38.25,0.16388916378858,2.5,25.0
35.25,38.5,0.1324041021903,2.5,30.0
35.25,38.75,0.19407720003729,2.5,30.0
35.5,31.25,0.52645768061714,-7.5,-30.0
35.5,31.5,0.6389752641962,-5.0,-30.0
35.5,31.75,0.34611604713925,-5.0,-27.5
35.5,32.0,0.62777712458414,-2.5,-22.5
35.5,32.25,0.40620230974934,-2.5,-17.5
35.5,32.5,0.46624772831516,-2.5,-12.5
35.5,32.75,0.63645693446909,0.0,-7.5
35.5,33.0,0.27189471657016,0.0,-5.0
35.5,33.25,0.35076703609417,0.0,-2.5
35.5,33.5,0.54193989893328,0.0,-2.5
35.5,33.75,0.48685268080893,0.0,0.0
35.5,34.0,0.46723785510153,0.0,0.0
35.5,34.25,0.52881959838776,0.0,0.0
35.5,34.5,0.59733069090194,2.5,0.0
35.5,34.75,0.58582452166243,2.5,0.0
35.5,35.0,0.596598519379,2.5,0.0
35.5,35.25,0.6999073962025,0.0,0.0
35.5,35.5,0.77225151288763,0.0,0.0
35.5,35.75,0.73835176486765,0.0,-2.5
35.5,36.0,0.6814680196751,0.0,0.0
35.5,36.25,0.53027333208303,0.0,0.0
35.5,36.5,0.53325899284226,0.0,0.0
35.5,36.75,0.40960188082925,0.0,2.5
35.5,37.0,0.51477806811401,0.0,5.0
35.5,37.25,0.38043041998457,0.0,7.5
35.5,37.5,0.65956310719289,0.0,10.0
35.5,37.75,0.50184500794032,0.0,15.0
35.5,38.0,0.55872440519342,0.0,20.0
35.5,38.25,0.54619910024895,0.0,25.0
35.5,38.5,0.32982536089568,0.0,30.0
35.5,38.75,0.34487059667728,0.0,30.0
35.75,31.25,0.59251791101891,-10.0,-27.5
35.75,31.5,0.5777553624413,-7.5,-30.0
35.75,31.75,0.25703679825871,-7.5,-27.5
35.75,32.0,0.26817970264964,-5.0,-22.5
35.75,32.25,0.46044585101504,-5.0,-17.5
35.75,32.5,0.20104940101687,-2.5,-12.5
35.75,32.75,0.55848721701625,-2.5,-10.0
35.75,33.0,0.70962102963263,0.0,-5.0
35.75,33.25,0.60063161395776,0.0,-2.5
35.75,33.5,0.28105888041524,0.0,-2.5
35.75,33.75,0.35298649746765,0.0,0.0
35.75,34.0,0.20843620813974,0.0,0.0
35.75,34.25,0.28412247844893,0.0,0.0
35.75,34.5,0.39078398035718,0.0,0.0
35.75,34.75,0.40403973471955,0.0,0.0
35.75,35.0,0.48495324434325,0.0,0.0
35.75,35.25,0.52266112744501,0.0,0.0
35.75,35.5,0.58621227724585,0.0,0.0
35.75,35.75,0.56351690456853,0.0,0.0
35.75,36.0,0.44737465450836,0.0,0.0
35.75,36.25,0.20996424208595,0.0,0.0
35.75,36.5,0.43105051038129,0.0,0.0
35.75,36.75,0.026559283188179,0.0,2.5
35.75,37.0,0.1205740721019,0.0,5.0
35.75,37.25,0.17218289109172,0.0,7.5
35.75,37.5,0.46997156374593,0.0,12.5
35.75,37.75,0.56662708717856,0.0,15.0
35.75,38.0,0.67841413593362,0.0,20.0
35.75,38.25,0.72825709110672,-2.5,27.5
35.75,38.5,0.49291361940963,-2.5,30.0
35.75,38.75,0.43697131628649,-2.5,30.0
36.0,31.25,0.31127890900181,-12.5,-27.5
36.0,31.5,0.70429030814682,-10.0,-30.0
36.0,31.75,0.16835976839745,-10.0,-27.5
36.0,32.0,0.17679703552842,-7.5,-22.5
36.0,32.25,0.50013780685144,-5.0,-17.5
36.0,32.5,0.52434282407758,-5.0,-12.5
36.0,32.75,0.48211270506879,-2.5,-10.0
36.0,33.0,0.52005399965853,-2.5,-7.5
36.0,33.25,0.63726299574041,-2.5,-5.0
36.0,33.5,0.41764921257577,0.0,-2.5
36.0,33.75,0.53430077800888,0.0,0.0
36.0,34.0,0.17542649995913,0.0,0.0
36.0,34.25,0.04465292128196,0.0,0.0
36.0,34.5,0.13681730082113,0.0,0.0
36.0,34.75,0.15807534488428,0.0,0.0
36.0,35.0,0.25687870460926,0.0,0.0
36.0,35.25,0.32829540668704,0.0,0.0
36.0,35.5,0.39623435863385,0.0,0.0
36.0,35.75,0.39932997316491,0.0,0.0
36.0,36.0,0.27826732065225,0.0,0.0
36.0,36.25,0.19474478757173,0.0,0.0
36.0,36.5,0.62345087339997,0.0,2.5
36.0,36.75,0.46390782122701,0.0,2.5
36.0,37.0,0.50727074127133,0.0,5.0
36.0,37.25,0.6469020836268,-2.5,7.5
36.0,37.5,0.40273037489151,-2.5,12.5
36.0,37.75,0.28297154357527,-2.5,17.5
36.0,38.0,0.15455628413443,-2.5,22.5
